label,n_available_soft,n_available_binary,n_positive_binary,n_negative_binary,mean_target_soft,mean_prediction,brier_soft,ece_soft,auroc_binary,auprc_binary,f1_binary_at_0_5,sensitivity_at_0_5,specificity_at_0_5
Atelectasis,291,146,136,10,0.716495,0.840207,0.102854,0.145096,0.851471,0.982106,0.964286,0.992647,0.100000
Cardiomegaly,197,158,115,43,0.682741,0.714085,0.089903,0.064301,0.922750,0.966160,0.925620,0.973913,0.651163
Pleural Effusion,603,554,393,161,0.692371,0.772043,0.086834,0.079671,0.958861,0.978926,0.908033,0.992366,0.527950
Pneumonia,101,31,21,10,0.554455,0.680194,0.094483,0.157220,0.809524,0.918417,0.808511,0.904762,0.300000
Pneumothorax,393,381,92,289,0.249364,0.555814,0.257963,0.306450,0.777794,0.486688,0.394004,1.000000,0.020761
